section,dist,ii,i(CT scan),I,3,ae,^,a,a(CT scan),c,o,U,u
1,0.4,0.36,0.5,0.21,0.18,0.26,0.18,0.2,0.56,0.82,0.17,0.07,0.22
2,0.79,0.5,0.36,0.14,0.15,0.19,0.29,0.42,0.24,1.11,0.18,0.1,0.48
3,1.19,0.82,0.38,0.4,0.55,0.7,0.51,0.46,0.19,0.95,0.81,0.07,0.81
4,1.59,1,0.49,0.51,0.92,1.23,0.94,1.17,0.2,0.7,0.65,0.05,0.9
5,1.98,1.45,1.45,0.82,0.49,1.14,0.43,1.55,0.46,0.44,0.61,0.18,1.2
6,2.38,3.9,2.03,0.72,0.53,1.03,0.37,0.99,0.8,0.45,0.46,0.43,3.13
7,2.79,3.33,1.87,0.88,0.5,1.1,0.42,0.38,0.47,0.38,0.44,0.75,2.71
8,3.17,2.84,1.94,1.01,0.46,1.27,0.27,0.18,0.25,0.36,0.61,0.47,1.75
9,3.57,2.75,2.13,0.91,1.35,1.78,0.51,0.97,0.22,0.56,0.67,0.29,2.01
10,3.97,3.84,3.02,1.55,1.16,1.94,0.6,1.17,0.3,1.01,0.97,0.11,2.2
11,4.37,4.3,3.9,1.7,1.54,1.8,1,1.24,0.42,0.95,1.19,0.32,2.16
12,4.76,4.38,3.73,1.86,1.31,2.16,0.48,1.32,0.75,0.79,0.66,0.58,2.56
13,5.16,4.16,3.05,1.36,1.03,2.78,0.21,1.08,1.4,0.68,0.37,1.11,2.61
14,5.56,3.22,2.27,1.14,1.38,3.01,0.28,1.18,1.01,0.33,0.46,0.84,2.34
15,5.95,2.5,1.77,1.67,1.67,3,0.62,1.38,0.78,0.88,1.33,0.17,2.05
16,6.35,2.25,1.73,1.93,1.45,2.98,0.84,2.04,1.26,2.06,2,0.39,1.21
17,6.75,2.19,1.6,1.79,1.26,2.92,0.92,2.06,1.54,2.41,1.81,0.81,0.8
18,7.14,2.27,1.21,1.57,1.22,3.27,1.15,2.36,1.64,2.47,1.77,1.03,0.74
19,7.54,1.78,0.68,1.46,1.29,3.8,1.47,2.78,1.98,3.1,2.24,1.02,1.36
20,7.94,1.25,0.46,1.22,1.27,3.79,2,2.86,2.4,4.01,2.43,1.04,1.18
21,8.33,0.74,0.21,1.28,1.28,4.03,2.32,3.5,3.16,4.43,2.87,1.42,1.05
22,8.73,0.28,0.03,1.22,1.45,3.46,2.71,3.54,3.65,5.15,4.24,1.93,0.78
23,9.13,0.18,0.04,1.31,1.83,3.06,2.64,3.84,4.33,5.61,4.63,2.1,0.78
24,9.52,0.14,0.05,1.23,1.46,2.75,2.74,4.31,4.35,6.07,4.95,2.21,1.17
25,9.92,0.19,0.07,1.13,1.26,3.89,2.26,5.16,4.58,6.62,4.92,2.53,1.47
26,10.32,0.28,0.14,1.2,1.25,2.91,2.14,5.19,4.94,7.15,4.76,2.82,2
27,10.71,0.48,0.27,0.98,1.77,3.22,1.96,4.39,4.59,8.05,5.34,2.8,2.5
28,11.11,0.75,0.32,1.47,1.6,3.82,2.02,3.2,4.39,8.38,5.43,2.46,2.92
29,11.51,0.51,0.41,1.7,1.52,3.9,1.83,2.89,3.98,8.13,4.75,2.32,3.1
30,11.9,0.71,0.53,0.97,1.8,3.43,1.25,2.13,3.93,8.1,4.26,2.46,2.98
31,12.3,1,0.69,0.86,2.14,,1.35,1.95,3.72,8.64,2.97,2.09,3.4
32,12.7,0.74,1.14,1.2,1.59,,1.9,1.38,3.37,6.02,1.99,2.57,3.61
33,13.1,1.24,1.8,1.18,,,1.7,1.29,2.81,3.32,1.33,1.76,2.97
34,13.49,1.51,2.34,1.34,,,1.69,2.81,2.81,2.26,1.45,1.37,2.74
35,13.89,1.65,2.01,,,,,,3.11,1.94,1.6,1.09,1.79
36,14.29,1.59,1.95,,,,,,2.94,1.58,1.39,1.16,0.87
37,14.68,,,,,,,,,,,,0.44
38,15.08,,,,,,,,,,,,0.18
delta,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825,0.396825
,,,,,,,,,,,,,
f1,,489,,649,799,837,759,961,,817,706,675,533
,,16,,47,6,17,6,18,,8,20,15,14
f2,,2387,,2079,2112,2028,1360,1488,,1264,1157,1122,1152
,,103,,132,49,57,74,23,,32,26,60,44
f3,,3526,,2799,2874,2814,2756,2779,,2574,3030,3157,3122
,,325,,35,61,60,56,96,,155,359,289,495
