,,,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Female,Female,Female,Female,Female,Female,Female,Female
,,,normal,low f0,med f0,high f0,soft,med,loud,breathy,pressed,normal,low f0,med f0,high f0,soft,med,loud,breathy,pressed
F0,Hz,1/T0,126,102,131,288,129,127,132,131,128,246,190,250,360,249,258,257,254,261
RG,%,T0/2Tp,132,123,136,86,109,134,145,125,185,115,101,111,121,112,117,123,105,111
FG,Hz,1/2Tp,167,125,178,247,137,166,183,164,229,284,192,277,436,279,303,316,266,289
RE,%,Te/T0,52,58.2,53.4,77,66.3,55.5,47.1,60.5,39.2,65.8,70.5,66.9,61.6,70.1,64.7,61.9,71,67.6
OQ,%,Tc/T0,54,61,56,87,69,57,49,65,41,71,76,71,65,81,68,64,79,71
Ta,ms,,,,,,,,,,,,,,,,,,,
RA,%,Ta/T0,2.02,2.58,1.5,9.84,2.72,1.86,1.56,4.57,1.31,4.96,5.1,4.17,2.95,10.5,3.71,1.93,8.12,3.24
Fa,Hz,1/(2 pi Ta),1001,639,1485,478,785,1106,1477,461,1620,810,603,966,1946,379,1244,2123,503,1290
SP,%,Tc/Tp -1,,,,,,,,,,,,,,,,,,
RK,%,Te/Tp-1,37.7,42.5,45,32.1,40.7,45,37.7,51,39.5,51.7,41.9,48,48.7,57.1,51.2,52.2,48.3,49.9
flpl,l/s,,,,,,,,,,,,,,,,,,,
fllk,l/s,,,,,,,,,,,,,,,,,,,
flpl - fllk,l/s,,,,,,,,,,,,,,,,,,,
