Attenuation (dB/ft),Very leafy - 20 ft vis,Very leafy - 20 ft vis-bottom,Very leafy - 50 ft vis,Very leafy - 50 ft vis-bottom,Leafy - 100 ft vis,Leafy - 100 ft vis-bottom,Leafy - 200 ft vis,Leafy - 200 ft vis-bottom,Large trunks - 300 ft vis
Freq (Hz),,,,,,,,,
99.055,,0.0196921,,,,,,,
99.672,,,,,,,,0.0067158,
99.754,,,,0.0197628,0.0197628,,,,
100.141,0.031548,,,,,,,,
100.41,,,,,,0.010682,0.010682,,
100.493,,,0.031434,,,,,,
100.81,,,,,,,,,0.0195501
115.643,,0.0242527,,,,,,,
128.85,,,,,,,,0.0081217,
134.06,,0.029022,,,,,,,
143.855,0.038143,,,,,,,,
146.806,,,,,,0.0135817,0.0135817,,
155.414,,,0.035488,,,,,,
162.107,,0.034478,,,,,,,
164.239,,,,,,,,0.0093735,
180.091,,,,0.0247562,0.0247562,,,,
187.932,0.043703,,,,,,,,
199.418,,,,,,,,,0.0245728
204.321,,,,,,0.0161875,0.0161875,,
214.024,,0.040365,,,,,,,
221.465,,,,,,,,0.0111728,
242.909,,,0.042744,,,,,,
264.214,,,,0.028872,0.028872,,,,
267.134,0.051712,,,,,,,,
272.612,,,,,,0.0183474,0.0183474,,
288.59,,0.046246,,,,,,,
302.85,,,,,,,,0.0128002,
304.22,,,0.046743,,,,,,
360.01,,,,,,,,,0.030016
375.72,0.058395,,,,,,,,
379.4,,,,,,0.0206443,0.0206443,,
394.63,,0.051851,,,,,,,
402.92,,,,0.034158,0.034158,,,,
435.03,,,,,,,,0.0144535,
435.47,,,0.053545,,,,,,
504.82,0.063846,,,,,,,,
509.77,,,,,,0.0227346,0.0227346,,
530.03,,,,,,,,,0.034136
578.95,,0.057917,,,,,,,
612.46,,,0.058538,,,,,,
627.55,,,,0.041142,0.041142,,,,
629.29,,,,,,,,0.0157434,
687.88,0.069304,,,,,,,,
722.03,,,,,,0.0253963,0.0253963,,
750.73,,,,,,,,,0.038546
848.51,,,,,,,,0.017275,
867.46,,,0.063995,,,,,,
882.85,,0.064454,,,,,,,
908.15,0.076599,,,,,,,,
1026.31,,,,,,0.029621,0.029621,,
1037.61,,,,0.050447,0.050447,,,,
1124.16,,,,,,,,0.0191622,
1136.79,,,,,,,,,0.043834
1211.51,,,0.071747,,,,,,
1215.95,0.087132,,,,,,,,
1318.2,,0.074629,,,,,,,
1350.24,,,,,,0.034307,0.034307,,
1485.28,,,,0.058417,0.058417,,,,
1512.22,0.09913,,,,,,,,
1581.19,,,,,,,,0.0233365,
1588.26,,,0.080741,,,,,,
1740.34,,0.084894,,,,,,,
1783.71,,,0.08581,,,,,,
1788.97,,,,,,0.040601,0.040601,,
1789.26,,,,,,,,,0.050202
1847.95,0.115246,,,,,,,,
1973.46,,,,,,,,0.028123,
2178.47,,,,,,0.047543,0.047543,,
2242.32,0.129715,,,,,,,,
2371.49,,,0.094841,,,,,,
2413.03,,,,0.071632,0.071632,,,,
2454.43,,,,,,,,0.034259,
2526.45,,0.097246,,,,,,,
2692.29,0.143919,,,,,,,,
2699.83,,,,,,,,,0.056071
3130.9,,,0.104825,,,,,,
3230.9,,,,0.080317,0.080317,,,,
3252.1,,,,,,,,0.042792,
3579.6,0.164893,,,,,,,,
3921.1,,0.113808,,,,,,,
3946.9,,,,,,,,,0.061959
3962.6,,,0.114215,,,,,,
4116.3,,,,,,,,0.050466,
4117.2,,,,,,0.06754,0.06754,,
4467.4,0.184253,,,,,,,,
4944.4,,,,0.09605,0.09605,,,,
5454.8,,,,,,0.076278,0.076278,,
5629.7,,,,,,,,,0.068469
5672.2,,0.128506,,,,,,,
5712.2,,,0.128504,,,,,,
5769.4,,,,,,,,0.060582,
6173.7,0.208071,,,,,,,,
7028,,,,0.110826,0.110826,,,,
7431.9,,,,,,,,0.069666,
7433.3,,,,,,0.088338,0.088338,,
7725.3,,,,,,,,,0.07432
7813.9,0.22671,,,,,,,,
7866.3,,0.144595,,,,,,,
7894,,,0.144593,,,,,,
9921.1,,,0.156419,,,,,,
9951,,,,,,,,0.080106,
9954.6,,,,0.128336,0.128336,,,,
9987.8,,,,,,0.100846,0.100846,,
9991.2,,0.158114,,,,,,,
10021.1,,,,,,,,,0.079244
10029.8,0.247011,,,,,,,,
