Habitat,distance (m),Frequency (Hz),Excess attenuation (dB)
Rain forest,100,61.4051781775318,15.0790932410784
Rain forest,100,127.505350055508,11.0877962003794
Rain forest,100,207.913889574013,-3.89665051549431
Rain forest,100,519.13691282962,2.9597678555633
Rain forest,100,1041.37540709577,9.17533195081918
Rain forest,100,2145.06446739974,8.5960274012993
Rain forest,100,3983.87719227176,16.2255398193559
Rain forest,50,63.5550182566946,19.6957649856998
Rain forest,50,123.872653557115,6.91214482982299
Rain forest,50,201.895566877032,-1.24875917717476
Rain forest,50,527.183089040152,2.63580252980432
Rain forest,50,1007.48430556698,6.47038733328747
Rain forest,50,2005.01492787662,8.7449998525755
Rain forest,50,4072.69925543737,10.5190325021868
Rain forest,25,62.5977719758199,12.8138421771649
Rain forest,25,126.973282499633,12.558502953404
Rain forest,25,208.917195760976,-4.45561048483002
Rain forest,25,506.883572234568,-1.48073161862266
Rain forest,25,1007.46375489238,6.44097614671685
Rain forest,25,2015.01909378161,8.42132937580469
Rain forest,25,4144.26754658881,5.63618583348895
Rain forest,12.5,61.8918357611648,11.461222443905
Rain forest,12.5,124.039533435057,8.85328314348335
Rain forest,12.5,200.999768555828,-0.160397849568049
Rain forest,12.5,507.173161526986,-0.657218394645547
Rain forest,12.5,1012.38730786513,5.97024973709299
Rain forest,12.5,2030.1190138673,4.18582366064847
Rain forest,12.5,4043.64378693109,7.69570601590219
Riverine Forest,100,62.8417486560168,7.38097015482466
Riverine Forest,100,124.039084394918,14.3396810940743
Riverine Forest,100,225.15542512164,19.9055300915212
Riverine Forest,100,508.004889181349,15.199652129772
Riverine Forest,100,1017.99435183404,19.0423117693606
Riverine Forest,100,1986.29064261153,19.680795473208
Riverine Forest,100,3921.19220776363,27.5000373251318
Riverine Forest,50,63.1733296473426,7.61824601740845
Riverine Forest,50,123.911671786849,8.43465862434495
Riverine Forest,50,235.747117733521,14.0291733229818
Riverine Forest,50,494.768715861887,13.5088236611475
Riverine Forest,50,990.881625891959,13.939033129787
Riverine Forest,50,1963.34350969089,12.9154660415951
Riverine Forest,50,3996.73740002992,17.1435449917138
Riverine Forest,25,63.1671310990764,7.05444990220816
Riverine Forest,25,126.437294119507,4.36894399737232
Riverine Forest,25,223.309524565481,2.60600337419191
Riverine Forest,25,502.447319305269,11.9951402678452
Riverine Forest,25,1000.41993862767,8.98333806118336
Riverine Forest,25,1993.31958718919,9.97745562041835
Riverine Forest,25,4032.98111701527,9.0127875901402
Riverine Forest,12.5,62.1481618149885,3.61266217769748
Riverine Forest,12.5,126.453619644797,5.1107809910569
Riverine Forest,12.5,223.295685748632,2.24992161722331
Riverine Forest,12.5,489.024991391618,6.41708595231341
Riverine Forest,12.5,994.121079210083,2.69267233013333
Riverine Forest,12.5,1992.11550669912,6.50565848997448
Riverine Forest,12.5,3926.62317812892,5.45252989743054
Savanna,100,64.9530189535232,6.70121104170041
Savanna,100,133.489913379785,19.5956092281207
Savanna,100,237.409897955677,12.9650919999659
Savanna,100,515.165095328054,23.3837152816247
Savanna,100,1091.26800674976,20.5640590776993
Savanna,100,2068.99381681424,18.7276818053981
Savanna,100,4295.69087336926,19.9078721971757
Savanna,50,63.7803773474291,4.0026590078151
Savanna,50,129.309040039517,12.4842547534026
Savanna,50,236.868804844454,8.86983645397446
Savanna,50,513.591086796864,17.8916283866129
Savanna,50,1035.49306634064,16.4049276869189
Savanna,50,2082.61571755628,10.5055097710015
Savanna,50,4131.22912008494,9.84408157699619
Savanna,25,64.5156225966267,4.57417523884198
Savanna,25,128.345156814753,9.0556261025934
Savanna,25,225.722553979524,2.36153131578276
Savanna,25,514.391136647955,10.6852910846536
Savanna,25,1036.53759378657,8.2144592072407
Savanna,25,2050.66748725747,2.75935979273377
Savanna,25,4110.89191961658,0.98690097752629
Savanna,12.5,63.3374324275358,1.4946692006784
Savanna,12.5,129.590674225937,6.38903329725492
Savanna,12.5,226.618666355255,-0.527327271022756
Savanna,12.5,510.313039318531,6.39951592421829
Savanna,12.5,1018.13036818861,6.05559201274962
Savanna,12.5,2110.24113718395,4.15640420327775
Savanna,12.5,4110.16484914736,0.66943930729439
