Section,i,I,3,ae,^,a,c,o,U,u,3',l,m,n,ny,p,t,k
1,0.33,0.2,0.21,0.22,0.33,0.45,0.61,0.18,0.32,0.4,0.41,0.55,0.57,0.26,0.51,0.31,0.38,0.34
2,0.3,0.17,0.13,0.26,0.28,0.2,0.28,0.17,0.39,0.38,0.38,0.63,0.57,0.24,0.47,0.39,0.5,0.35
3,0.36,0.18,0.16,0.26,0.23,0.26,0.19,0.23,0.39,0.28,0.4,0.75,0.21,0.17,0.45,0.42,0.4,0.49
4,0.34,0.18,0.14,0.16,0.15,0.21,0.1,0.28,0.43,0.43,0.29,1.8,0.58,0.21,0.3,0.71,1.07,0.78
5,0.68,0.1,0.06,0.13,0.17,0.32,0.07,0.59,0.56,0.55,0.13,2.98,2.18,0.15,0.48,1.28,1.38,1.31
6,0.5,1.08,0.78,0.21,0.33,0.3,0.3,1.46,1.46,1.72,0.53,3.56,3.15,0.36,0.67,1.8,1.65,1.34
7,2.43,1.66,1.25,0.83,0.39,0.33,0.18,1.6,2.2,2.91,1.58,3.45,2.96,1.37,0.83,1.7,1.29,1.19
8,3.15,1.64,1.24,1.5,1.02,1.05,1.13,1.11,2.06,2.88,1.56,3.22,2.89,1.66,0.96,1.43,1.01,0.94
9,2.66,1.19,0.99,1.35,1.22,1.12,1.42,0.82,1.58,2.37,1.22,3.2,3.7,1.35,1.43,1.25,0.92,0.69
10,2.49,0.92,0.72,0.99,1.14,0.85,1.21,1.01,1.11,2.1,1.19,2.67,4.21,0.9,1.14,0.9,0.86,0.92
11,3.39,1.13,0.73,0.69,0.82,0.63,0.69,2.72,1.11,3.63,1,3.02,3.57,0.71,0.84,2.06,1.03,1.45
12,3.8,2.48,1.06,1.35,0.76,0.39,0.51,2.71,1.26,5.86,0.77,3.55,3.59,0.93,0.69,2.77,1.6,1.73
13,3.78,2.76,1.77,2.32,0.66,0.26,0.43,1.96,1.3,5.63,0.92,3.76,2.97,1.41,0.82,2.19,2.46,1.67
14,4.35,2.97,1.97,2.13,0.8,0.28,0.66,1.92,0.98,5.43,1.19,3.53,3.17,2.07,0.86,2.35,2.24,2.13
15,4.5,3.43,2.46,1.94,0.72,0.23,0.57,1.7,0.93,4.8,1.27,2.62,3.25,2.12,0.57,2.67,2.47,1.61
16,4.43,3.32,2.7,2.17,0.66,0.32,0.32,1.66,0.83,4.56,1.35,2.4,2.58,2.04,0.81,2.17,2.86,1.56
17,4.68,3.48,2.92,2.85,1.08,0.29,0.43,1.52,0.61,4.29,1.48,2.32,2.74,2.16,1,1.77,2.74,1.54
18,4.52,3.96,3.03,3.26,0.91,0.28,0.45,1.28,0.97,3.63,1.56,2.43,2.77,2.36,0.66,2.09,3.32,1.18
19,4.15,3.79,2.84,3.73,1.09,0.4,0.53,1.44,0.75,3.37,1.61,2.13,2.49,2.52,0.8,2.16,3.83,1.44
20,4.09,3.88,2.84,3.8,1.06,0.66,0.6,1.28,0.93,3.16,1.87,2.27,2.93,2.88,0.97,2.26,3.97,1.12
21,3.51,3.47,2.83,3.69,1.09,1.2,0.77,0.89,0.53,3.31,2.1,2.28,3.33,2.3,0.78,2.26,4.16,0.76
22,2.95,2.98,2.36,3.87,1.17,1.05,0.65,1.25,0.65,3.22,2.01,2.26,2.27,1.93,0.58,2.29,4.41,0.96
23,2.03,2.62,2.14,3.68,1.39,1.62,0.58,1.38,0.95,2.33,2.62,2.33,2.57,1.77,0.46,2.17,4.11,1.09
24,1.66,2.37,2,3.2,1.55,2.09,0.94,1.09,0.99,2.07,2.96,2.43,2.17,0.96,0.44,2.13,3.95,0.79
25,1.38,1.99,1.78,3.26,1.89,2.56,2.02,0.71,1.07,2.07,3.07,2.44,1.84,0.89,0.47,2.64,3.64,0.25
26,1.05,1.9,1.81,3.29,2.17,2.78,2.5,0.46,1.39,1.52,3.11,2.54,1.98,1.22,0.41,2.65,3.37,0
27,0.6,1.7,1.79,3.19,2.46,2.86,2.41,0.39,1.47,0.74,2.77,2.64,1.73,1.3,0.11,2.3,2.89,0.06
28,0.35,1.44,1.5,3.23,2.65,3.02,2.62,0.32,1.79,0.23,2.67,2.67,1.43,1.3,0,2.12,2.61,0.03
29,0.32,1.45,1.37,3.23,3.13,3.75,3.29,0.57,2.34,0.15,2.47,3.16,1.73,1.14,0,1.67,2.69,0.09
30,0.12,1.06,1.36,3.4,3.81,4.6,4.34,1.06,2.68,0.22,2.34,3.68,2.08,0.77,0,1.44,2.32,0.1
31,0.1,0.87,1.43,3.78,4.3,5.09,4.78,1.38,3.36,0.22,2.25,4.3,2.32,0.34,0,1.16,2.04,0.06
32,0.16,0.75,1.83,3.84,4.57,6.02,5.24,2.29,3.98,0.37,1.9,5.14,2.84,0.15,0,1.51,1.64,0.03
33,0.25,1.06,2.08,3.98,4.94,6.55,6.07,2.99,4.74,0.6,1.32,5.83,3.51,0.22,0,1.76,1.39,0.48
34,0.24,1.29,2.59,4.41,5.58,6.29,7.08,3.74,5.48,0.76,0.76,6.44,4.25,0.21,0,1.93,1.26,1.27
35,0.38,1.78,2.54,4.56,5.79,6.27,6.81,4.39,5.69,0.86,0.44,6.54,4.79,0,2.18,1.98,0.87,2.28
36,0.28,1.83,2.11,4.79,5.51,5.94,6.2,5.38,5.57,1.82,0.45,6.91,4.61,0,4.72,2.21,0.6,2.35
37,0.36,1.7,2.34,4.39,5.49,5.28,5.89,7.25,4.99,2.35,0.92,6.72,4.07,0,6.86,2.35,0.1,2.4
38,0.65,1.97,2.74,4.42,4.69,4.7,5.04,7,4.48,2.55,2.05,5.61,3.64,0,8.58,2.45,0,2.41
39,1.58,1.92,2.19,4.23,4.5,3.87,4.29,4.57,3.07,3.73,3.25,4.08,2.84,0,8.76,2.37,0,4.21
40,2.05,1.62,1.6,4.56,3.21,4.13,2.49,2.75,1.67,5.47,3.63,2.73,1.42,0,7.21,2.47,0.13,3.37
41,2.01,1.36,,4.31,2.79,4.25,1.84,1.48,1.13,4.46,3.59,0.45,0.29,1.59,4.92,1.75,0.18,2.46
42,1.58,1.18,,3.94,2.11,4.27,1.33,0.68,0.64,2.39,3.07,0.9,0,1.6,3.21,1.09,1.48,2.46
43,,,,,1.98,4.69,1.19,0.39,0.15,1.1,2.25,3.92,0,1.69,2.17,0.7,1.6,2.14
