# Acoustic characteristics of American English vowels 
# James Hillenbrand, Laura A. Getty, Michael J. Clark, and Kimberlee Wheele 
# J. Acoust. Soc. Am. 97 (5), Pt. 1, May 1995, p3099
# TABLE V. Average durations. fundamental frequencies, and formam frequencies of vowels produced by 45 men, 48 women, and 46 children. Averages are based on a subset of the tokens that were well identified by listeners (see text for details). The duration measurements are in ms; all others are in Hz. 
Meas pop /i/ /I/ /e/ /3/ /ae/ /a/ /c/ /o/ /u/ /U/ /^/ /3'/ 
Dur M 243 192 267 189 278 267 283 265 192 237 188 263 
Dur W 306 237 320 254 332 323 353 326 249 303 226 321 
Dur C 297 248 314 235 322 311 319 310 247 278 234 307 
F0 M 138 135 129 127 123 123 121 129 133 143 133 130 
F0 W 227 224 219 214 215 215 210 217 230 235 218 217 
F0 C 246 241 237 230 228 229 225 236 243 249 236 237 
F1 M 342 427 476 580 588 768 652 497 469 378 623 474 
F1 W 437 483 536 731 669 936 781 555 519 459 753 523 
F1 C 452 511 564 749 717 1002 803 597 568 494 749 586 
F2 M 2322 2034 2089 1799 1952 1333 997 910 1122 997 1200 1379 
F2 W 2761 2365 2530 2058 2349 1551 1136 1035 1225 1105 1426 1588 
F2 C 3081 2552 2656 2267 2501 1688 1210 1137 1490 1345 1546 1719 
F3 M 3000 2684 2691 2605 2601 2522 2538 2459 2434 2343 2550 1710 
F3 W 3372 3053 3047 2979 2972 2815 2824 2828 2827 2735 2933 1929 
F3 C 3702 3403 3323 3310 3289 2950 2982 2987 3072 2988 3145 2143 
F4 M 3657 3618 3649 3677 3624 3687 3486 3384 3400 3357 3557 3334 
F4 W 4352 4334 4319 4294 4290 4299 3923 3927 4052 4115 4092 3914 
F4 C 4572 4575 4422 4671 4409 4307 3919 4167 4328 4276 4320 3788 
