Section,i,ɪ,e,ε,æ,ʌ,ɑ,ɔ,o,ʊ,u
1,0.51,0.28,0.29,0.37,0.31,0.23,0.56,0.27,0.38,0.37,0.54
2,0.59,0.21,0.26,0.3,0.21,0.34,0.62,0.43,0.45,0.38,0.61
3,0.62,0.21,0.3,0.24,0.18,0.47,0.66,0.54,0.57,0.49,0.66
4,0.72,0.3,0.4,0.23,0.23,0.6,0.78,0.67,0.77,0.62,0.75
5,1.24,0.47,0.55,0.29,0.33,0.77,0.97,0.83,1.31,0.85,1.13
6,2.3,0.71,0.74,0.41,0.5,1.06,1.16,0.92,1.92,1.28,1.99
7,3.3,1.12,0.99,0.58,0.78,1.26,1.12,0.89,1.74,1.62,2.83
8,3.59,1.48,1.09,0.82,0.96,1.09,0.82,0.73,1.11,1.47,2.9
9,3.22,1.35,0.9,0.97,0.85,0.8,0.55,0.55,0.75,1.04,2.52
10,2.86,1.05,0.69,0.82,0.63,0.65,0.45,0.44,0.59,0.81,2.4
11,3,0.92,0.77,0.62,0.46,0.56,0.37,0.37,0.57,1.03,2.83
12,3.61,0.92,1.31,0.54,0.36,0.47,0.29,0.28,0.68,1.44,3.56
13,4.39,1.19,2.13,0.54,0.33,0.37,0.21,0.18,0.73,1.49,3.99
14,4.95,1.94,2.74,0.68,0.46,0.24,0.15,0.14,0.67,1.28,3.89
15,5.17,2.83,3.03,1.09,0.73,0.17,0.16,0.15,0.58,1.06,3.5
16,5.16,3.31,3.23,1.62,1,0.18,0.25,0.14,0.49,0.85,3.04
17,5.18,3.48,3.33,2.03,1.3,0.23,0.34,0.13,0.44,0.69,2.64
18,5.26,3.6,3.27,2.35,1.66,0.27,0.43,0.14,0.42,0.56,2.44
19,5.2,3.64,3.09,2.51,1.97,0.28,0.54,0.18,0.49,0.42,2.31
20,5.02,3.49,2.84,2.39,2.06,0.29,0.61,0.2,0.53,0.27,2.07
21,4.71,3.2,2.66,2.22,2.03,0.33,0.67,0.23,0.38,0.27,1.8
22,4.13,2.9,2.46,2.13,2.01,0.52,0.98,0.49,0.3,0.41,1.52
23,3.43,2.59,2.14,2,1.89,0.97,1.76,1.03,0.45,0.51,1.14
24,2.83,2.21,1.79,1.78,1.66,1.5,2.75,1.58,0.61,0.49,0.74
25,2.32,1.87,1.44,1.58,1.49,1.91,3.52,2.06,0.71,0.47,0.42
26,1.83,1.54,1.17,1.43,1.42,2.23,4.08,2.61,0.79,0.5,0.22
27,1.46,1.2,1,1.31,1.37,2.65,4.74,3.35,0.86,0.58,0.14
28,1.23,0.92,0.88,1.23,1.34,3.29,5.61,4.34,1.01,0.8,0.2
29,1.08,0.74,0.8,1.24,1.41,4.13,6.6,5.51,1.41,1.19,0.47
30,0.94,0.59,0.81,1.38,1.58,5,7.61,6.7,2.09,1.62,0.89
31,0.8,0.52,0.85,1.61,1.82,5.77,8.48,7.75,3,2.27,1.15
32,0.67,0.54,0.84,1.82,2.19,6.33,9.06,8.63,4.1,3.24,1.42
33,0.55,0.59,0.86,1.96,2.63,6.61,9.29,9.29,5.16,4.16,2.17
34,0.46,0.65,0.96,2.01,2.97,6.63,9.26,9.59,6.22,5,3.04
35,0.4,0.71,1.18,2,3.17,6.45,9.06,9.42,7.34,5.7,3.69
36,0.36,0.67,1.35,1.95,3.4,6.04,8.64,8.78,8.15,6.11,4.7
37,0.35,0.61,1.48,1.77,3.56,5.39,7.91,7.82,8.61,6.21,5.74
38,0.35,0.57,1.62,1.48,3.57,4.42,6.98,6.5,8.37,6.29,5.41
39,0.38,0.5,1.49,1.3,3.58,3.29,6.02,4.95,6.76,6.24,3.82
40,0.51,0.48,1.29,1.21,3.44,2.37,5.13,3.47,4.37,4.91,2.34
41,0.74,0.54,1.24,1.1,3.15,1.74,4.55,2.15,2.3,2.61,1.35
42,0.92,0.73,1.17,0.99,3.38,1.36,4.52,1.38,1.06,1.09,0.65
43,0.96,0.93,1.04,0.91,3.99,1.17,4.71,1.11,0.58,0.63,0.29
44,0.91,0.82,0.95,0.78,4.17,0.99,4.72,0.9,0.47,0.59,0.16
delta,0.384,0.376,0.386,0.393,0.366,0.39,0.388,0.395,0.417,0.44,0.445
length,16.9,16.55,16.98,17.3,16.11,17.14,17.09,17.4,18.33,19.34,19.59
,,,,,,,,,,,
f1,295,478,509,659,765,752,715,665,563,518,430
f1sd,17,9,10,15,15,13,9,19,9,8,5
f2,1923,1965,1917,1740,1724,1300,1180,932,835,947,917
f2sd,28,11,10,26,22,23,31,12,30,13,14
f3,2797,2688,2617,1485,2501,2698,2691,2814,1637,2355,2087
f3sd,60,27,42,69,59,33,21,54,26,30,14
